id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
000103f0d9cfb60f,"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC)",0,0,0,0,0,0
0001b41b1c6bb37e,"""
More
I can't make any real suggestions on improvement - I wondered if the section statistics should be later on, or a subsection of """"types of accidents""""  -I think the references may need tidying so that they are all in the exact same format ie date format etc. I can do that later on, if no-one else does first - if you have any preferences for formatting style on references or want to do it yourself please let me know.

There appears to be a backlog on articles for review so I guess there may be a delay until a reviewer turns up. It's listed in the relevant form eg Wikipedia:Good_article_nominations#Transport  """,0,0,0,0,0,0
0001d958c54c6e35,"You, sir, are my hero. Any chance you remember what page that's on?",0,0,0,0,0,0
00024b59235015f3,"Virgin
My only warning? You'll block me? Well f*ck off. You probably get off from warning people on Wikipedia, don't you? I bet you're still a virgin, f*cking homo. As for your warning, shove it up your ass. and F*CK YOU!",1,0,1,0,1,0
0002bcb3da6cb337,COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,1,1,1,0,1,0
0002eeaf4c0cdf35,"But isnt it against the rules to edit if you are a person like Steven pyeatt, like Coz 11, and you edit your article... isn't that bad? Are there things to do to get people involved in their articles subjects to stop editing?",0,0,0,0,0,0
00030003d620f7a8,"""
seems about right. nableezy - """,0,0,0,0,0,0
00037261f536c51d,"Sorry if the word 'nonsense' was offensive to you. Anyway, I'm not intending to write anything in the article(wow they would jump on me for vandalism), I'm merely requesting that it be more encyclopedic so one can use it for school as a reference. I have been to the selective breeding page but it's almost a stub. It points to 'animal breeding' which is a short messy article that gives you no info. There must be someone around with expertise in eugenics? 93.161.107.169",0,0,0,0,0,0
000521f420b7ac15,Words can't describe how annoying I find you Wikipedians.,1,0,0,0,0,0
0005c987bdfc9d4b,"Hey... what is it..
@ | talk .
What is it... an exclusive group of some WP TALIBANS...who are good at destroying, self-appointed purist who GANG UP any one who asks them questions abt their ANTI-SOCIAL and DESTRUCTIVE (non)-contribution at WP?

Ask Sityush to clean up his behavior than issue me nonsensical warnings...",1,0,0,0,0,0
